date_time,wind_speed_BKK,wind_dir_BKK,wind_speed_Chiangmai,wind_dir_Chiangmai,wind_speed_Khonkaen,wind_dir_Khonkaen,wind_speed_Rayong,wind_dir_Rayong,wind_speed_Saraburi,wind_dir_Saraburi,wind_speed_Surat,wind_dir_Surat
2017-07-06 06:00:00,30.0,257.0,14.0,258.0,22.0,252.0,29.0,252.0,38.0,257.0,38.0,242.0
2017-07-06 12:00:00,27.0,262.0,12.0,250.0,20.0,248.0,27.0,257.0,31.0,255.0,32.0,233.0
2017-07-06 18:00:00,23.0,252.0,10.0,248.0,21.0,247.0,27.0,252.0,31.0,243.0,29.0,235.0
2017-07-07 00:00:00,28.0,253.0,15.0,248.0,31.0,235.0,33.0,255.0,35.0,245.0,37.0,238.0
2017-07-07 06:00:00,27.0,252.0,17.0,260.0,30.0,245.0,34.0,250.0,32.0,255.0,39.0,248.0
2017-07-07 12:00:00,20.0,250.0,15.0,253.0,15.0,260.0,25.0,238.0,20.0,243.0,27.0,247.0
2017-07-07 18:00:00,22.0,252.0,19.0,255.0,23.0,250.0,34.0,243.0,26.0,245.0,26.0,250.0
2017-07-08 00:00:00,23.0,243.0,21.0,273.0,24.0,245.0,32.0,245.0,26.0,248.0,26.0,243.0
2017-07-08 06:00:00,21.0,240.0,22.0,272.0,18.0,252.0,27.0,230.0,26.0,263.0,28.0,232.0
2017-07-08 12:00:00,18.0,233.0,15.0,252.0,17.0,288.0,22.0,232.0,18.0,253.0,32.0,242.0
2017-07-08 18:00:00,25.0,238.0,15.0,243.0,21.0,257.0,25.0,237.0,23.0,233.0,26.0,252.0
2017-07-09 00:00:00,22.0,220.0,17.0,253.0,20.0,255.0,23.0,228.0,23.0,232.0,21.0,228.0
2017-07-09 06:00:00,22.0,228.0,17.0,252.0,22.0,252.0,26.0,238.0,25.0,237.0,29.0,238.0
2017-07-09 12:00:00,21.0,252.0,14.0,247.0,18.0,248.0,25.0,252.0,21.0,245.0,26.0,252.0
2017-07-09 18:00:00,20.0,272.0,11.0,250.0,19.0,242.0,24.0,257.0,21.0,245.0,23.0,255.0
2017-07-10 00:00:00,15.0,268.0,13.0,278.0,24.0,228.0,20.0,260.0,23.0,253.0,23.0,250.0
2017-07-10 06:00:00,14.0,263.0,21.0,273.0,28.0,247.0,19.0,257.0,24.0,258.0,32.0,257.0
2017-07-10 12:00:00,21.0,272.0,24.0,273.0,23.0,265.0,20.0,258.0,27.0,260.0,29.0,265.0
2017-07-10 18:00:00,26.0,285.0,23.0,273.0,26.0,292.0,21.0,273.0,26.0,280.0,28.0,277.0
2017-07-11 00:00:00,24.0,302.0,26.0,282.0,19.0,295.0,20.0,308.0,24.0,303.0,23.0,290.0
2017-07-11 06:00:00,21.0,293.0,23.0,290.0,9.0,323.0,20.0,302.0,22.0,292.0,21.0,282.0
2017-07-11 12:00:00,22.0,280.0,23.0,292.0,4.0,253.0,16.0,283.0,19.0,267.0,22.0,260.0
2017-07-11 18:00:00,21.0,270.0,13.0,285.0,6.0,237.0,22.0,253.0,22.0,260.0,30.0,263.0
2017-07-12 00:00:00,19.0,258.0,11.0,262.0,13.0,228.0,22.0,250.0,25.0,255.0,34.0,262.0
2017-07-12 06:00:00,23.0,252.0,11.0,242.0,23.0,237.0,25.0,255.0,28.0,248.0,32.0,260.0
2017-07-12 12:00:00,20.0,262.0,11.0,248.0,21.0,220.0,22.0,263.0,23.0,253.0,25.0,257.0
2017-07-12 18:00:00,26.0,263.0,11.0,243.0,25.0,217.0,28.0,260.0,23.0,257.0,23.0,257.0
2017-07-13 00:00:00,32.0,253.0,19.0,253.0,29.0,227.0,31.0,252.0,36.0,248.0,23.0,237.0
2017-07-13 06:00:00,33.0,257.0,15.0,255.0,25.0,248.0,35.0,257.0,37.0,257.0,30.0,230.0
2017-07-13 12:00:00,31.0,255.0,14.0,253.0,17.0,248.0,37.0,257.0,32.0,257.0,27.0,228.0
2017-07-13 18:00:00,38.0,252.0,17.0,258.0,9.0,287.0,44.0,255.0,35.0,250.0,44.0,238.0
2017-07-14 00:00:00,43.0,257.0,25.0,245.0,10.0,255.0,56.0,253.0,36.0,252.0,60.0,242.0
2017-07-14 06:00:00,37.0,262.0,23.0,245.0,14.0,263.0,47.0,253.0,36.0,268.0,53.0,242.0
2017-07-14 12:00:00,32.0,268.0,13.0,258.0,13.0,302.0,39.0,268.0,29.0,267.0,39.0,247.0
2017-07-14 18:00:00,46.0,275.0,11.0,255.0,10.0,313.0,51.0,277.0,35.0,265.0,43.0,260.0
2017-07-15 00:00:00,51.0,278.0,15.0,238.0,5.0,312.0,56.0,277.0,39.0,282.0,59.0,262.0
2017-07-15 06:00:00,57.0,272.0,14.0,245.0,15.0,297.0,59.0,275.0,49.0,275.0,59.0,260.0
2017-07-15 12:00:00,51.0,275.0,13.0,257.0,18.0,288.0,60.0,282.0,53.0,287.0,50.0,257.0
2017-07-15 18:00:00,40.0,282.0,16.0,253.0,24.0,293.0,53.0,283.0,50.0,278.0,52.0,257.0
2017-07-16 00:00:00,44.0,275.0,12.0,243.0,26.0,320.0,49.0,280.0,44.0,273.0,58.0,252.0
2017-07-16 06:00:00,45.0,268.0,4.0,157.0,14.0,305.0,49.0,268.0,44.0,273.0,58.0,252.0
2017-07-16 12:00:00,46.0,270.0,3.0,87.0,9.0,328.0,56.0,270.0,40.0,280.0,52.0,243.0
2017-07-16 18:00:00,41.0,275.0,2.0,175.0,13.0,293.0,54.0,268.0,39.0,272.0,55.0,252.0
2017-07-17 00:00:00,42.0,272.0,7.0,227.0,16.0,270.0,52.0,265.0,45.0,265.0,62.0,243.0
2017-07-17 06:00:00,56.0,267.0,12.0,317.0,37.0,265.0,63.0,260.0,52.0,268.0,68.0,245.0
2017-07-17 12:00:00,50.0,268.0,8.0,355.0,30.0,262.0,50.0,270.0,56.0,270.0,58.0,247.0
2017-07-17 18:00:00,51.0,257.0,23.0,323.0,31.0,247.0,62.0,262.0,55.0,250.0,51.0,242.0
2017-07-18 00:00:00,52.0,257.0,18.0,285.0,50.0,250.0,54.0,258.0,53.0,252.0,52.0,243.0
2017-07-18 06:00:00,49.0,252.0,34.0,217.0,42.0,257.0,53.0,250.0,50.0,252.0,50.0,240.0
2017-07-18 12:00:00,37.0,267.0,27.0,232.0,27.0,258.0,40.0,265.0,40.0,262.0,36.0,242.0
2017-07-18 18:00:00,30.0,273.0,26.0,243.0,21.0,272.0,32.0,273.0,32.0,258.0,28.0,245.0
2017-07-19 00:00:00,33.0,285.0,31.0,245.0,15.0,280.0,36.0,292.0,36.0,273.0,31.0,262.0
2017-07-19 06:00:00,36.0,287.0,27.0,243.0,28.0,295.0,39.0,282.0,36.0,287.0,36.0,252.0
2017-07-19 12:00:00,31.0,293.0,24.0,262.0,28.0,295.0,30.0,287.0,30.0,285.0,30.0,253.0
2017-07-19 18:00:00,34.0,285.0,25.0,280.0,18.0,277.0,35.0,285.0,33.0,272.0,26.0,257.0
2017-07-20 00:00:00,37.0,288.0,26.0,288.0,17.0,262.0,37.0,288.0,36.0,282.0,29.0,257.0
2017-07-20 06:00:00,39.0,290.0,29.0,285.0,22.0,307.0,42.0,295.0,36.0,285.0,34.0,265.0
2017-07-20 12:00:00,33.0,302.0,25.0,288.0,23.0,312.0,37.0,300.0,22.0,313.0,35.0,267.0
2017-07-20 18:00:00,34.0,285.0,15.0,293.0,17.0,287.0,37.0,287.0,21.0,275.0,38.0,270.0
2017-07-21 00:00:00,35.0,277.0,14.0,277.0,15.0,232.0,37.0,278.0,23.0,270.0,31.0,267.0
2017-07-21 06:00:00,31.0,300.0,13.0,280.0,13.0,245.0,35.0,280.0,16.0,292.0,30.0,262.0
2017-07-21 12:00:00,23.0,300.0,9.0,287.0,5.0,247.0,24.0,285.0,10.0,282.0,22.0,238.0
2017-07-21 18:00:00,19.0,275.0,5.0,243.0,6.0,222.0,22.0,250.0,16.0,255.0,26.0,250.0
2017-07-22 00:00:00,25.0,262.0,12.0,218.0,13.0,195.0,31.0,263.0,28.0,255.0,28.0,248.0
2017-07-22 06:00:00,25.0,273.0,8.0,193.0,14.0,225.0,33.0,268.0,26.0,260.0,33.0,245.0
2017-07-22 12:00:00,20.0,255.0,4.0,213.0,12.0,230.0,32.0,260.0,24.0,263.0,28.0,248.0
2017-07-22 18:00:00,25.0,267.0,14.0,205.0,12.0,242.0,23.0,263.0,31.0,250.0,21.0,262.0
2017-07-23 00:00:00,26.0,290.0,21.0,233.0,15.0,250.0,22.0,287.0,31.0,270.0,20.0,250.0
2017-07-23 06:00:00,26.0,285.0,11.0,252.0,8.0,312.0,25.0,282.0,26.0,277.0,31.0,255.0
2017-07-23 12:00:00,24.0,290.0,7.0,253.0,11.0,317.0,25.0,278.0,19.0,272.0,27.0,252.0
2017-07-23 18:00:00,28.0,277.0,14.0,258.0,9.0,285.0,31.0,285.0,29.0,270.0,21.0,250.0
2017-07-24 00:00:00,31.0,298.0,19.0,290.0,11.0,278.0,31.0,295.0,29.0,285.0,24.0,258.0
2017-07-24 06:00:00,40.0,302.0,17.0,298.0,14.0,307.0,34.0,298.0,27.0,302.0,35.0,262.0
2017-07-24 12:00:00,35.0,297.0,16.0,295.0,13.0,290.0,35.0,295.0,23.0,295.0,34.0,253.0
2017-07-24 18:00:00,39.0,288.0,23.0,298.0,6.0,293.0,39.0,278.0,31.0,278.0,31.0,250.0
2017-07-25 00:00:00,43.0,308.0,24.0,305.0,16.0,278.0,40.0,295.0,35.0,298.0,39.0,252.0
2017-07-25 06:00:00,47.0,305.0,24.0,313.0,28.0,328.0,46.0,297.0,40.0,315.0,48.0,258.0
2017-07-25 12:00:00,35.0,315.0,16.0,300.0,25.0,338.0,40.0,302.0,37.0,323.0,50.0,258.0
2017-07-25 18:00:00,31.0,307.0,12.0,318.0,20.0,345.0,31.0,297.0,32.0,307.0,45.0,270.0
2017-07-26 00:00:00,39.0,295.0,20.0,333.0,30.0,7.0,33.0,290.0,33.0,293.0,50.0,262.0
2017-07-26 06:00:00,44.0,303.0,23.0,352.0,56.0,23.0,53.0,292.0,36.0,305.0,54.0,257.0
2017-07-26 12:00:00,40.0,303.0,16.0,18.0,65.0,38.0,49.0,290.0,37.0,318.0,52.0,255.0
2017-07-26 18:00:00,44.0,292.0,6.0,40.0,68.0,35.0,56.0,285.0,29.0,308.0,59.0,257.0
2017-07-27 00:00:00,38.0,297.0,3.0,168.0,42.0,47.0,40.0,275.0,38.0,293.0,66.0,255.0
2017-07-27 06:00:00,49.0,302.0,11.0,353.0,24.0,17.0,41.0,283.0,42.0,303.0,63.0,245.0
2017-07-27 12:00:00,53.0,290.0,12.0,30.0,28.0,40.0,43.0,293.0,37.0,298.0,51.0,247.0
2017-07-27 18:00:00,43.0,278.0,6.0,47.0,31.0,0.0,44.0,280.0,35.0,280.0,55.0,255.0
2017-07-28 00:00:00,47.0,280.0,6.0,307.0,26.0,333.0,48.0,273.0,37.0,273.0,56.0,253.0
2017-07-28 06:00:00,53.0,280.0,9.0,340.0,25.0,318.0,51.0,267.0,40.0,275.0,43.0,255.0
2017-07-28 12:00:00,48.0,273.0,8.0,10.0,22.0,303.0,50.0,272.0,36.0,275.0,34.0,247.0
2017-07-28 18:00:00,53.0,260.0,4.0,32.0,23.0,258.0,60.0,267.0,51.0,253.0,38.0,253.0
2017-07-29 00:00:00,54.0,280.0,4.0,348.0,29.0,250.0,62.0,277.0,50.0,277.0,39.0,255.0
2017-07-29 06:00:00,50.0,283.0,9.0,340.0,27.0,287.0,49.0,268.0,39.0,283.0,51.0,257.0
2017-07-29 12:00:00,42.0,277.0,8.0,2.0,24.0,283.0,39.0,275.0,34.0,270.0,42.0,253.0
2017-07-29 18:00:00,33.0,263.0,5.0,268.0,16.0,262.0,44.0,262.0,40.0,252.0,47.0,252.0
2017-07-30 00:00:00,36.0,275.0,11.0,263.0,21.0,243.0,38.0,273.0,42.0,268.0,48.0,260.0
2017-07-30 06:00:00,42.0,282.0,8.0,310.0,11.0,270.0,33.0,282.0,40.0,278.0,45.0,265.0
2017-07-30 12:00:00,37.0,277.0,7.0,275.0,12.0,265.0,30.0,280.0,30.0,268.0,36.0,258.0
2017-07-30 18:00:00,31.0,268.0,9.0,252.0,18.0,260.0,35.0,275.0,34.0,253.0,33.0,255.0
2017-07-31 00:00:00,27.0,268.0,15.0,268.0,34.0,252.0,29.0,270.0,36.0,260.0,31.0,248.0
2017-07-31 06:00:00,42.0,282.0,20.0,278.0,30.0,270.0,33.0,273.0,44.0,282.0,34.0,252.0
2017-07-31 12:00:00,35.0,282.0,17.0,272.0,20.0,288.0,29.0,275.0,34.0,282.0,34.0,252.0
2017-07-31 18:00:00,27.0,273.0,15.0,262.0,16.0,258.0,28.0,275.0,29.0,253.0,38.0,255.0
2017-08-01 00:00:00,21.0,263.0,21.0,267.0,37.0,258.0,21.0,263.0,30.0,248.0,39.0,252.0
2017-08-01 06:00:00,23.0,255.0,29.0,267.0,43.0,260.0,24.0,248.0,37.0,258.0,42.0,252.0
2017-08-01 12:00:00,23.0,273.0,25.0,262.0,30.0,262.0,24.0,265.0,34.0,265.0,37.0,255.0
2017-08-01 18:00:00,27.0,272.0,24.0,257.0,28.0,265.0,32.0,280.0,34.0,253.0,31.0,258.0
2017-08-02 00:00:00,24.0,268.0,32.0,265.0,43.0,262.0,24.0,278.0,33.0,253.0,30.0,255.0
2017-08-02 06:00:00,29.0,262.0,29.0,265.0,44.0,255.0,24.0,255.0,40.0,257.0,32.0,262.0
2017-08-02 12:00:00,29.0,268.0,23.0,255.0,30.0,255.0,25.0,265.0,36.0,257.0,33.0,258.0
2017-08-02 18:00:00,31.0,260.0,27.0,252.0,34.0,257.0,32.0,265.0,39.0,247.0,31.0,267.0
2017-08-03 00:00:00,29.0,270.0,37.0,272.0,46.0,260.0,30.0,268.0,37.0,252.0,41.0,262.0
2017-08-03 06:00:00,33.0,265.0,31.0,273.0,39.0,267.0,31.0,257.0,40.0,268.0,45.0,257.0
2017-08-03 12:00:00,33.0,275.0,21.0,255.0,32.0,272.0,37.0,277.0,42.0,270.0,45.0,255.0
2017-08-03 18:00:00,30.0,268.0,34.0,255.0,35.0,268.0,39.0,280.0,42.0,262.0,46.0,260.0
2017-08-04 00:00:00,30.0,267.0,32.0,265.0,36.0,268.0,31.0,277.0,39.0,262.0,45.0,257.0
2017-08-04 06:00:00,33.0,270.0,22.0,265.0,27.0,265.0,32.0,267.0,41.0,270.0,42.0,252.0
2017-08-04 12:00:00,27.0,267.0,14.0,238.0,22.0,253.0,27.0,268.0,33.0,260.0,39.0,245.0
2017-08-04 18:00:00,30.0,258.0,20.0,242.0,32.0,250.0,33.0,255.0,35.0,238.0,41.0,248.0
2017-08-05 00:00:00,29.0,253.0,22.0,262.0,43.0,250.0,33.0,247.0,35.0,247.0,43.0,250.0
2017-08-05 06:00:00,26.0,268.0,19.0,262.0,37.0,252.0,26.0,245.0,33.0,258.0,49.0,243.0
2017-08-05 12:00:00,21.0,248.0,20.0,267.0,35.0,243.0,22.0,235.0,32.0,248.0,45.0,243.0
2017-08-05 18:00:00,25.0,232.0,22.0,262.0,32.0,243.0,29.0,237.0,32.0,227.0,34.0,247.0
2017-08-06 00:00:00,23.0,255.0,22.0,247.0,39.0,235.0,25.0,255.0,30.0,240.0,30.0,238.0
2017-08-06 06:00:00,17.0,255.0,23.0,257.0,35.0,223.0,18.0,237.0,22.0,252.0,29.0,225.0
2017-08-06 12:00:00,14.0,230.0,18.0,258.0,24.0,225.0,17.0,222.0,18.0,242.0,26.0,200.0
2017-08-06 18:00:00,17.0,210.0,18.0,248.0,22.0,238.0,23.0,217.0,21.0,232.0,25.0,203.0
2017-08-07 00:00:00,15.0,222.0,14.0,230.0,20.0,235.0,23.0,222.0,17.0,217.0,26.0,215.0
2017-08-07 06:00:00,16.0,212.0,20.0,225.0,23.0,232.0,25.0,225.0,19.0,218.0,24.0,223.0
2017-08-07 12:00:00,21.0,208.0,22.0,232.0,23.0,230.0,25.0,217.0,19.0,215.0,22.0,225.0
2017-08-07 18:00:00,16.0,213.0,19.0,242.0,27.0,232.0,22.0,217.0,22.0,217.0,17.0,230.0
2017-08-08 00:00:00,14.0,227.0,20.0,243.0,28.0,243.0,20.0,230.0,25.0,225.0,13.0,237.0
2017-08-08 06:00:00,16.0,217.0,18.0,250.0,29.0,245.0,16.0,233.0,23.0,225.0,13.0,242.0
2017-08-08 12:00:00,16.0,223.0,15.0,247.0,26.0,237.0,15.0,230.0,21.0,225.0,13.0,242.0
2017-08-08 18:00:00,17.0,233.0,5.0,260.0,27.0,237.0,20.0,235.0,27.0,222.0,13.0,253.0
2017-08-09 00:00:00,16.0,250.0,12.0,257.0,33.0,240.0,20.0,243.0,27.0,245.0,9.0,230.0
2017-08-09 06:00:00,23.0,275.0,17.0,258.0,32.0,253.0,24.0,262.0,27.0,263.0,9.0,247.0
2017-08-09 12:00:00,24.0,288.0,21.0,265.0,23.0,263.0,22.0,278.0,25.0,275.0,8.0,252.0
2017-08-09 18:00:00,19.0,287.0,20.0,263.0,20.0,263.0,19.0,290.0,29.0,268.0,8.0,288.0
2017-08-10 00:00:00,18.0,280.0,26.0,272.0,20.0,263.0,13.0,300.0,26.0,272.0,8.0,253.0
2017-08-10 06:00:00,18.0,272.0,25.0,265.0,24.0,280.0,13.0,250.0,24.0,273.0,10.0,233.0
2017-08-10 12:00:00,16.0,270.0,22.0,268.0,19.0,270.0,16.0,252.0,21.0,263.0,11.0,248.0
2017-08-10 18:00:00,16.0,285.0,23.0,263.0,16.0,262.0,19.0,272.0,24.0,262.0,12.0,270.0
2017-08-11 00:00:00,12.0,288.0,34.0,278.0,26.0,270.0,16.0,317.0,25.0,257.0,10.0,263.0
2017-08-11 06:00:00,14.0,282.0,28.0,273.0,22.0,272.0,8.0,262.0,28.0,267.0,10.0,270.0
2017-08-11 12:00:00,19.0,282.0,23.0,272.0,16.0,255.0,10.0,275.0,23.0,270.0,12.0,260.0
2017-08-11 18:00:00,22.0,290.0,13.0,257.0,12.0,252.0,22.0,303.0,23.0,272.0,11.0,313.0
2017-08-12 00:00:00,19.0,287.0,25.0,267.0,9.0,242.0,19.0,322.0,20.0,258.0,6.0,297.0
2017-08-12 06:00:00,15.0,297.0,23.0,277.0,9.0,260.0,12.0,305.0,18.0,260.0,7.0,322.0
2017-08-12 12:00:00,14.0,297.0,16.0,262.0,8.0,233.0,10.0,305.0,11.0,272.0,11.0,288.0
2017-08-12 18:00:00,13.0,303.0,11.0,237.0,8.0,238.0,13.0,308.0,14.0,258.0,8.0,308.0
2017-08-13 00:00:00,11.0,280.0,15.0,250.0,8.0,222.0,10.0,313.0,19.0,245.0,9.0,328.0
2017-08-13 06:00:00,9.0,283.0,11.0,248.0,14.0,233.0,6.0,12.0,11.0,247.0,7.0,320.0
2017-08-13 12:00:00,10.0,270.0,11.0,247.0,11.0,245.0,3.0,32.0,10.0,238.0,7.0,285.0
2017-08-13 18:00:00,10.0,295.0,9.0,258.0,12.0,237.0,3.0,305.0,12.0,245.0,3.0,238.0
2017-08-14 00:00:00,9.0,323.0,11.0,263.0,11.0,197.0,7.0,358.0,13.0,252.0,1.0,275.0
2017-08-14 06:00:00,4.0,280.0,10.0,257.0,17.0,228.0,7.0,83.0,10.0,258.0,7.0,270.0
2017-08-14 12:00:00,6.0,250.0,12.0,272.0,14.0,240.0,7.0,153.0,11.0,230.0,6.0,235.0
2017-08-14 18:00:00,8.0,277.0,11.0,268.0,17.0,228.0,8.0,197.0,16.0,237.0,9.0,230.0
2017-08-15 00:00:00,4.0,268.0,11.0,260.0,21.0,208.0,6.0,187.0,16.0,237.0,15.0,263.0
2017-08-15 06:00:00,7.0,222.0,16.0,253.0,21.0,240.0,8.0,185.0,17.0,227.0,16.0,255.0
2017-08-15 12:00:00,10.0,240.0,16.0,258.0,17.0,238.0,11.0,205.0,19.0,223.0,30.0,238.0
2017-08-15 18:00:00,9.0,253.0,28.0,258.0,22.0,218.0,18.0,218.0,25.0,233.0,37.0,243.0
2017-08-16 00:00:00,10.0,278.0,27.0,257.0,27.0,223.0,20.0,240.0,24.0,245.0,43.0,250.0
2017-08-16 06:00:00,14.0,267.0,23.0,263.0,19.0,247.0,18.0,265.0,23.0,248.0,58.0,258.0
2017-08-16 12:00:00,14.0,268.0,19.0,265.0,14.0,228.0,17.0,265.0,17.0,243.0,57.0,260.0
2017-08-16 18:00:00,10.0,240.0,17.0,237.0,11.0,222.0,20.0,250.0,16.0,242.0,68.0,265.0
2017-08-17 00:00:00,16.0,242.0,18.0,232.0,23.0,185.0,22.0,262.0,18.0,217.0,64.0,267.0
2017-08-17 06:00:00,14.0,220.0,13.0,228.0,18.0,190.0,29.0,268.0,15.0,178.0,56.0,262.0
2017-08-17 12:00:00,15.0,197.0,15.0,188.0,11.0,162.0,24.0,253.0,19.0,148.0,49.0,260.0
2017-08-17 18:00:00,24.0,220.0,18.0,165.0,20.0,115.0,31.0,248.0,27.0,168.0,46.0,263.0
2017-08-18 00:00:00,19.0,250.0,28.0,153.0,26.0,137.0,39.0,267.0,23.0,203.0,54.0,270.0
2017-08-18 06:00:00,25.0,268.0,30.0,152.0,25.0,138.0,43.0,270.0,12.0,203.0,50.0,262.0
2017-08-18 12:00:00,23.0,273.0,26.0,138.0,18.0,130.0,40.0,273.0,8.0,205.0,42.0,263.0
2017-08-18 18:00:00,34.0,277.0,22.0,147.0,12.0,115.0,41.0,283.0,18.0,265.0,33.0,270.0
2017-08-19 00:00:00,33.0,287.0,18.0,142.0,19.0,100.0,32.0,295.0,20.0,285.0,35.0,268.0
2017-08-19 06:00:00,27.0,310.0,18.0,117.0,17.0,82.0,37.0,295.0,13.0,338.0,34.0,270.0
2017-08-19 12:00:00,13.0,312.0,12.0,108.0,17.0,68.0,22.0,300.0,4.0,68.0,28.0,262.0
2017-08-19 18:00:00,12.0,290.0,13.0,100.0,14.0,103.0,20.0,257.0,3.0,248.0,28.0,257.0
2017-08-20 00:00:00,16.0,307.0,16.0,137.0,19.0,117.0,16.0,290.0,6.0,310.0,30.0,262.0
2017-08-20 06:00:00,23.0,297.0,16.0,110.0,16.0,105.0,28.0,297.0,10.0,318.0,40.0,267.0
2017-08-20 12:00:00,25.0,277.0,21.0,98.0,22.0,125.0,23.0,273.0,12.0,270.0,27.0,262.0
2017-08-20 18:00:00,28.0,262.0,17.0,103.0,21.0,152.0,23.0,250.0,20.0,250.0,21.0,262.0
2017-08-21 00:00:00,32.0,273.0,18.0,132.0,22.0,163.0,27.0,277.0,27.0,257.0,28.0,255.0
2017-08-21 06:00:00,27.0,287.0,12.0,133.0,18.0,145.0,25.0,277.0,20.0,262.0,43.0,257.0
2017-08-21 12:00:00,24.0,278.0,10.0,147.0,13.0,158.0,25.0,280.0,21.0,258.0,39.0,262.0
2017-08-21 18:00:00,25.0,263.0,10.0,158.0,11.0,173.0,29.0,270.0,27.0,263.0,33.0,260.0
2017-08-22 00:00:00,18.0,272.0,15.0,193.0,17.0,182.0,22.0,265.0,23.0,263.0,43.0,257.0
2017-08-22 06:00:00,19.0,275.0,11.0,233.0,13.0,237.0,20.0,268.0,23.0,260.0,41.0,248.0
2017-08-22 12:00:00,16.0,278.0,7.0,243.0,8.0,280.0,16.0,275.0,19.0,270.0,34.0,250.0
2017-08-22 18:00:00,17.0,282.0,9.0,218.0,8.0,283.0,16.0,273.0,23.0,270.0,28.0,255.0
2017-08-23 00:00:00,20.0,272.0,16.0,257.0,13.0,270.0,16.0,270.0,27.0,262.0,33.0,255.0
2017-08-23 06:00:00,25.0,278.0,17.0,292.0,14.0,315.0,28.0,277.0,27.0,277.0,44.0,260.0
2017-08-23 12:00:00,27.0,290.0,12.0,297.0,10.0,297.0,24.0,285.0,22.0,283.0,43.0,255.0
2017-08-23 18:00:00,25.0,280.0,12.0,270.0,11.0,238.0,25.0,277.0,21.0,263.0,41.0,257.0
2017-08-24 00:00:00,25.0,267.0,23.0,258.0,24.0,240.0,25.0,267.0,30.0,250.0,48.0,260.0
2017-08-24 06:00:00,33.0,275.0,31.0,275.0,28.0,262.0,24.0,255.0,40.0,272.0,41.0,262.0
2017-08-24 12:00:00,34.0,280.0,23.0,275.0,19.0,280.0,23.0,278.0,38.0,277.0,30.0,252.0
2017-08-24 18:00:00,28.0,278.0,17.0,268.0,15.0,283.0,26.0,265.0,37.0,253.0,34.0,255.0
2017-08-25 00:00:00,27.0,273.0,22.0,263.0,16.0,242.0,33.0,278.0,32.0,262.0,37.0,252.0
2017-08-25 06:00:00,32.0,275.0,28.0,257.0,19.0,245.0,29.0,273.0,36.0,268.0,36.0,255.0
2017-08-25 12:00:00,26.0,283.0,30.0,263.0,16.0,250.0,27.0,277.0,33.0,278.0,34.0,255.0
2017-08-25 18:00:00,26.0,282.0,24.0,248.0,6.0,303.0,35.0,290.0,30.0,282.0,29.0,257.0
2017-08-26 00:00:00,24.0,295.0,17.0,240.0,10.0,315.0,27.0,295.0,26.0,287.0,33.0,268.0
